DMNH 1200 Castle Rock,94.41747963,37.88124132,49.04468513,58.2825898,61.24863549,49.03290253,52.22592282,55.62545734,29.41734367,63.50299449,42.9293265,84.28867499,62.01437752,66.06389608,82.65285675,44.70639007,72.90304863,62.8033899,44.51022765,42.3457162,45.0419003,48.38762211,74.35024045,103.0912919,59.52251307,64.4899915,67.10854271,67.19313616,57.32675636,59.77813339,70.01356924,43.57275543,45.36424195,44.46491531,78.86737454,37.73241369,61.64053177,62.23972874,62.36266781,61.10351626,69.74932744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 1204 Scotty's Palm,73.65336306,69.50592327,60.33080447,89.3352551,66.4552476,70.91192359,75.55462006,80.17329238,67.88731625,69.37993028,70.55013083,88.22654889,59.91980665,57.52460737,83.07372084,68.32558835,61.32811472,82.42463097,44.5206179,61.91457802,64.5149084,69.24759988,61.21528951,111.9753848,127.0104574,97.81239806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2133 Kristianity,91.97572257,73.97631228,80.1582533,53.2813622,80.72317983,80.86056337,65.92114777,111.9957989,54.38725382,87.81962777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2174 Upper Kristianity,103.4957151,60.29530908,64.43062681,47.5545362,38.07485866,64.71535987,105.880622,77.62546753,49.20519231,56.97174783,73.33559669,78.18128204,75.51149893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2177 Baptist Road,43.98095988,78.36859563,36.4783272,79.27083067,53.70717715,38.05163157,40.0794552,53.66020811,28.81074328,43.92127479,53.20734741,47.50188392,74.231295,61.23697599,74.65920069,56.13080963,50.54569803,73.191891,63.55382274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2362 Karlis Site,102.042231,78.5280809,68.72680694,73.01412327,79.54739346,60.85663325,85.01065427,105.7035235,100.2540555,98.26157104,79.18180859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2687 Chopping at the Gap,42.63505043,56.61468819,63.26735166,35.39175002,88.43984449,43.88756513,53.47295127,78.17803201,79.87834698,43.45024811,34.73826865,168.1568835,62.5281679,85.47410936,56.2896256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2699 Watermelon,59.40618862,84.55923516,75.90697635,75.78756555,65.81664155,52.97683423,72.4574596,78.42678733,46.95557787,53.51686738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2731 Two Tarps to the Wind,116.9716516,51.91605974,46.82455394,41.50389769,56.72699467,66.20113923,82.7391055,74.61289703,78.70968783,68.11965093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMNH 2733 Stairway to Heaven,97.33872656,38.54660328,47.71970442,65.8700605,53.73050447,33.52815719,53.82259922,76.99646033,71.6879682,55.78492355,74.5832124,60.25773004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
